"Year","District","Trespass","Theft","Battery","Narcotics","Assualt","Robbery","OtherOffense","Deceptive","CriminalDmg","Burglary","SexOffense","Weapons","Kidnapping","Interference","SexAssualt","VehicleTheft","Prostitution","Arson","PublicPeace","ChildrenOffense","Liquor","Intimidation","Stalking","Gambling","NonCriminal","Obscenity","PublicIndecency","Narcotic","Homicide","CCViolation","Trafficking","Ritualism","Domestic","Total"
2013,"District 8",407,4536,3246,1635,1127,828,1211,774,2685,1672,100,201,27,67,90,955,75,34,262,189,29,6,14,26,1,2,1,0,23,0,0,0,0,20223
2013,"District 10",296,2154,2825,2452,882,588,766,354,1393,675,48,194,14,45,84,518,64,20,306,110,46,11,9,74,0,0,0,0,27,0,0,0,0,13955
2013,"District 12",353,4301,2119,954,785,458,657,623,1452,811,53,85,9,31,47,860,70,13,174,138,41,4,11,20,1,2,0,0,12,0,0,0,0,14084
2013,"District 18",635,6271,1412,289,392,282,413,1351,747,415,46,31,4,29,53,265,71,1,91,27,50,2,6,3,1,1,1,0,5,0,0,0,0,12894
2013,"District 7",566,3057,4213,2055,1259,904,943,486,1765,1009,43,342,20,134,85,627,120,27,238,129,9,6,8,92,0,3,0,0,45,0,0,0,0,18185
2013,"District 25",244,3798,3100,1864,1031,622,1321,633,1864,1193,77,173,12,118,81,984,210,44,151,177,24,8,5,15,0,2,0,0,16,0,0,0,0,17767
2013,"District 6",443,3689,3725,1876,1244,1040,935,833,1735,1069,47,269,12,95,97,693,96,17,153,141,13,8,9,17,0,0,1,1,36,0,2,0,0,18296
2013,"District 5",379,2218,3001,1540,1070,569,846,333,1572,979,39,258,10,58,62,510,175,24,122,107,4,6,10,31,1,1,0,0,32,0,0,0,0,13957
2013,"District 4",353,3224,3532,1536,1325,707,1172,624,2149,1503,53,247,13,69,88,715,60,24,207,209,18,13,4,18,1,1,0,0,33,0,0,0,0,17898
2013,"District 24",314,2201,1594,595,566,298,617,370,1070,476,47,89,2,44,34,231,13,7,64,57,19,3,4,0,0,0,0,0,6,0,0,0,0,8721
2013,"District 16",319,2615,1477,823,535,143,1395,512,1182,721,38,56,12,26,22,510,7,11,79,95,17,7,8,1,0,1,0,0,4,0,0,0,0,10616
2013,"District 3",522,2751,3390,1519,1077,769,1163,451,1743,1268,31,243,15,61,64,498,41,21,134,130,12,6,10,48,1,1,0,0,34,0,0,0,0,16003
2013,"District 20",143,1400,858,229,294,165,363,286,490,291,26,25,5,17,13,207,2,3,35,40,8,0,0,2,0,0,0,0,3,0,0,0,0,4905
2013,"District 17",123,2269,1352,438,411,314,502,327,1124,656,39,36,6,21,30,643,17,14,89,85,24,5,4,2,0,0,0,0,7,0,0,0,0,8538
2013,"District 9",362,3101,2721,1513,908,448,838,544,1733,876,85,184,10,55,51,862,115,29,227,112,46,13,3,8,0,4,1,0,24,0,0,0,0,14873
2013,"District 2",418,2908,2422,1327,916,613,776,540,1136,638,35,112,4,40,59,524,63,6,108,103,7,6,2,30,0,1,0,0,16,0,0,0,0,12810
2013,"District 19",422,5197,1752,675,502,531,566,1065,1441,835,47,37,4,23,53,678,9,4,118,51,29,5,5,2,1,1,3,1,2,0,0,0,0,14059
2013,"District 1",797,5713,1171,355,507,311,476,1511,629,189,40,24,4,15,41,219,36,3,88,34,7,5,7,0,0,1,3,3,2,0,0,0,0,12191
2013,"District 15",268,1804,2956,3762,792,499,772,285,1075,424,29,181,10,87,49,386,46,15,133,89,10,6,6,83,0,1,0,0,26,0,0,0,0,13794
2013,"District 11",344,2607,3846,7251,1129,794,1017,668,1506,661,35,261,14,178,75,679,347,23,179,121,13,8,12,108,0,1,0,0,36,0,0,0,0,21913
2013,"District 22",204,2345,1727,972,710,504,700,509,1141,573,24,148,32,44,50,320,3,6,104,92,7,4,6,14,0,1,0,0,20,0,0,0,0,10260
2013,"District 14",223,3365,1564,477,509,432,537,416,1221,960,32,50,4,24,39,697,12,18,73,81,32,2,10,2,0,0,0,0,13,0,0,0,0,10793
2013,"District 31",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2013,"District 21",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,"District 13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,"District 23",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,"District 8",492,4578,3692,1998,1295,953,1303,887,2921,1898,84,265,20,75,102,1244,158,41,310,207,42,14,12,31,0,3,0,0,38,0,0,0,0,22663
2012,"District 10",202,2351,3350,2293,1006,654,814,300,1622,799,60,209,6,37,72,766,44,28,257,120,51,24,13,83,0,0,0,0,34,0,0,0,0,15195
2012,"District 12",398,4791,2333,1082,911,578,742,544,1785,972,60,98,5,33,61,1175,45,13,194,99,45,5,12,25,0,1,0,2,17,0,0,0,0,16026
2012,"District 18",523,6963,1563,384,391,359,427,1425,1001,595,23,31,7,23,51,270,92,2,83,39,45,5,15,7,3,0,2,3,5,0,0,0,0,14337
2012,"District 7",568,3069,4579,2570,1350,946,851,549,1985,1466,55,449,12,110,110,706,311,32,263,127,15,9,9,123,0,0,0,0,40,0,0,0,0,20304
2012,"District 25",310,3785,3415,2185,1221,792,1200,564,2145,1483,62,192,22,122,89,1454,352,54,137,159,40,11,13,31,0,2,0,0,20,0,0,0,0,19860
2012,"District 6",499,3514,3836,2343,1253,1069,987,834,1948,1261,36,354,8,103,102,844,37,19,155,127,9,8,7,19,0,1,2,0,42,0,0,0,0,19417
2012,"District 5",371,2316,3249,1719,1232,614,785,373,1898,1104,54,337,12,82,79,677,190,36,112,99,9,5,2,25,0,0,2,0,33,0,0,0,0,15415
2012,"District 4",376,3570,4025,1596,1572,846,1119,603,2648,1767,46,317,15,56,85,806,81,27,190,136,29,6,8,18,0,0,0,0,40,0,0,0,0,19982
2012,"District 24",276,2252,1762,734,631,375,673,363,1107,610,43,95,9,51,35,342,41,11,74,63,30,5,9,7,0,2,0,0,15,0,0,0,0,9615
2012,"District 16",310,2832,1529,605,540,198,1056,580,1464,871,53,39,14,29,27,649,6,13,58,84,15,3,9,0,1,2,0,0,7,0,0,0,0,10994
2012,"District 3",640,2844,3660,2047,1232,936,995,462,1951,1444,44,284,8,64,66,628,97,23,167,119,11,8,4,52,0,2,0,0,40,0,0,0,0,17828
2012,"District 20",140,1601,902,375,318,149,353,261,663,459,28,35,2,14,23,312,5,2,41,23,12,2,5,6,1,0,0,0,5,0,0,0,0,5737
2012,"District 17",169,2422,1558,519,435,270,555,334,1234,1008,44,68,7,18,42,849,15,14,102,53,33,6,8,1,0,0,1,0,8,0,0,0,0,9773
2012,"District 9",343,3246,3090,1579,1046,587,835,697,2123,1147,73,291,13,70,62,1086,55,27,196,106,51,9,10,13,1,3,2,0,40,0,0,0,0,16801
2012,"District 2",377,3016,2672,1104,982,648,828,466,1453,757,44,134,11,22,61,641,45,6,104,134,8,3,12,41,0,0,3,0,26,0,0,0,0,13598
2012,"District 19",431,5625,1943,998,563,550,592,874,1555,1371,64,60,7,17,57,826,18,13,86,56,28,9,14,4,1,5,2,1,6,0,0,0,0,15776
2012,"District 1",684,6015,1128,388,555,355,463,1308,570,252,36,28,4,21,43,215,33,0,63,34,14,5,19,1,1,1,1,0,1,0,0,0,0,12238
2012,"District 15",254,1905,3074,3607,893,613,735,300,1155,664,41,154,12,86,66,516,14,25,137,104,15,5,3,131,0,1,0,0,26,0,0,0,0,14536
2012,"District 11",293,2829,4111,5597,1183,1038,933,822,1848,947,39,266,21,106,83,1002,530,39,95,107,15,5,7,89,0,2,1,0,38,0,0,0,0,22046
2012,"District 22",251,2343,1846,930,720,490,694,496,1326,767,22,130,7,50,42,533,1,16,83,105,14,4,5,16,0,0,0,0,13,0,0,0,0,10904
2012,"District 14",308,3589,1815,823,569,465,540,410,1451,1202,39,68,14,39,48,951,33,28,100,83,42,5,11,1,0,1,1,0,9,0,0,0,0,12645
2012,"District 31",0,0,0,10,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
2012,"District 21",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,"District 13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,"District 23",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,"District 8",459,4763,3882,2587,1394,966,1498,760,3403,2568,100,263,30,65,90,1494,274,48,343,219,46,6,12,34,0,6,0,0,28,0,0,0,0,25338
2011,"District 10",220,2304,3178,2032,919,677,913,267,1535,819,57,183,8,32,72,1070,78,34,303,94,40,14,6,60,0,3,1,0,30,0,0,0,0,14949
2011,"District 12",399,4986,2404,1232,881,571,757,576,1961,1069,63,105,6,23,62,1141,63,15,211,86,53,10,5,22,0,2,0,0,15,0,0,0,0,16718
2011,"District 18",580,6645,1552,504,433,447,502,1528,985,469,45,32,5,29,40,403,127,5,97,27,54,3,11,6,0,0,4,0,3,0,0,0,0,14536
2011,"District 7",649,3180,4623,2567,1508,981,1044,401,2276,1751,53,436,19,80,110,845,236,38,173,137,12,10,4,98,0,1,1,0,60,0,0,0,0,21293
2011,"District 25",354,3666,3518,2485,1178,862,1333,561,2333,2024,72,253,15,107,89,1564,376,38,145,198,42,12,6,28,0,2,1,0,18,0,0,0,0,21280
2011,"District 6",522,3477,3839,2606,1338,1012,1227,711,1833,1664,48,314,22,69,108,1258,159,30,146,153,19,7,11,33,0,2,0,0,36,0,0,0,0,20644
2011,"District 5",395,2277,3329,1808,1256,652,908,379,1676,1342,24,311,14,72,86,989,103,26,109,123,11,7,11,18,0,0,0,0,27,0,0,0,0,15953
2011,"District 4",406,3776,4229,1919,1584,870,1269,586,2427,2097,45,338,21,35,94,1123,63,29,195,198,29,10,12,28,0,1,0,0,19,0,0,0,0,21403
2011,"District 24",261,2463,1774,773,512,425,736,415,1230,725,45,81,4,36,48,450,6,14,88,60,30,6,7,10,0,4,0,0,4,0,0,0,0,10207
2011,"District 16",376,2632,1582,566,595,174,1321,564,1628,1041,50,32,9,20,28,546,4,15,54,92,28,6,6,1,0,0,0,0,3,0,0,0,0,11373
2011,"District 3",633,2817,3725,2071,1199,937,1224,446,1819,1772,53,277,14,51,83,887,23,17,135,127,6,4,2,39,0,3,0,0,36,0,0,0,0,18400
2011,"District 20",172,1502,949,481,287,169,409,249,620,411,29,29,6,11,35,290,5,6,53,17,15,2,5,2,0,0,0,0,5,0,0,0,0,5759
2011,"District 17",198,2372,1592,684,495,348,644,337,1451,1050,46,62,4,19,44,836,13,16,102,70,35,6,7,4,0,3,0,0,8,0,0,0,0,10446
2011,"District 9",368,2965,3272,2078,1087,638,989,575,2399,1344,66,257,23,98,68,1463,182,55,225,161,30,12,10,46,0,3,1,0,31,0,0,0,0,18446
2011,"District 2",455,3221,2860,1568,1043,695,951,407,1662,936,33,159,11,23,69,820,126,10,76,98,7,5,10,42,0,3,0,0,20,0,0,0,0,15310
2011,"District 19",406,5603,1805,913,597,516,700,1003,1504,1175,55,52,5,20,69,755,39,8,147,27,39,10,11,1,0,0,2,2,8,0,0,0,0,15472
2011,"District 1",616,5648,1084,463,509,361,626,1097,587,207,35,22,7,15,25,292,46,5,102,24,16,9,19,4,0,3,3,2,1,0,0,0,0,11828
2011,"District 15",330,1809,2921,4237,876,727,835,327,1251,864,41,186,10,82,74,469,40,19,135,111,9,5,2,126,0,0,0,0,19,0,0,0,0,15505
2011,"District 11",345,2858,4292,5291,1347,1006,923,449,1749,894,40,255,15,99,86,1022,408,40,117,121,35,13,8,107,0,1,0,0,44,0,0,0,0,21565
2011,"District 22",276,2371,1981,1021,703,472,744,457,1410,1123,36,159,13,39,45,591,1,14,73,86,9,6,5,21,0,2,0,0,16,0,0,0,0,11674
2011,"District 14",239,3807,2067,689,670,476,635,427,1593,1274,32,74,5,23,40,1079,52,22,66,89,54,8,11,6,0,1,0,1,6,0,0,0,0,13446
2011,"District 31",0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31
2011,"District 21",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,"District 13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,"District 23",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,"District 8",459,4584,4244,2788,1506,1127,1610,763,3603,2481,96,277,34,45,87,1625,326,49,360,244,54,15,13,53,0,4,1,1,36,0,0,0,0,26485
2010,"District 10",257,2267,3448,2408,1084,650,1048,242,1747,889,60,189,5,39,61,969,102,27,323,122,49,12,8,60,0,1,0,0,30,0,0,0,0,16097
2010,"District 12",404,5277,2618,1404,920,537,809,534,2033,899,44,100,10,20,51,1061,79,26,238,75,57,6,7,21,0,4,0,0,15,0,0,0,0,17249
2010,"District 18",742,6879,1795,649,498,444,474,1133,1172,481,44,43,2,30,38,401,158,3,96,14,55,9,7,12,0,0,0,2,2,0,0,0,0,15183
2010,"District 7",549,3158,5091,3141,1486,1047,1064,329,2473,1983,56,375,24,54,91,999,166,43,212,152,9,8,6,77,0,3,0,0,40,0,0,0,0,22636
2010,"District 25",351,4064,4056,2630,1276,954,1500,620,2484,2081,69,244,36,42,73,1633,358,61,194,189,52,9,10,33,0,0,0,0,16,0,0,0,0,23035
2010,"District 6",556,3263,4217,2805,1457,1064,1276,642,1999,1840,61,262,18,54,91,1187,109,22,181,147,13,12,18,53,0,0,0,0,40,0,0,0,0,21387
2010,"District 5",400,2240,3637,1722,1268,705,1008,411,1816,1277,45,269,14,62,74,832,111,29,130,119,8,17,10,36,0,0,0,0,29,0,0,0,0,16269
2010,"District 4",452,3295,4226,1941,1595,816,1305,560,2738,2175,55,233,21,16,92,995,108,26,227,194,18,25,14,28,0,2,1,1,32,0,0,0,0,21191
2010,"District 24",316,2576,1817,1010,678,500,778,385,1464,786,50,78,2,34,38,460,36,19,90,68,27,3,9,11,0,3,0,0,7,0,0,0,0,11245
2010,"District 16",334,2648,1786,678,585,157,1363,648,1839,858,59,57,20,16,30,612,18,21,82,101,31,8,4,2,0,2,0,0,5,0,0,0,0,11964
2010,"District 3",678,2695,4162,2375,1302,844,1472,537,2159,1564,51,277,14,61,85,878,45,22,195,146,13,10,9,52,0,0,0,0,28,0,0,0,0,19674
2010,"District 20",154,1466,1081,511,320,189,415,296,730,407,24,30,1,15,25,266,12,7,90,27,24,3,4,6,1,1,0,0,2,0,0,0,0,6107
2010,"District 17",267,2727,1727,784,492,334,703,383,1523,989,44,60,8,26,51,834,22,21,100,109,47,2,6,2,0,2,0,0,6,0,0,0,0,11269
2010,"District 9",386,3111,3407,2305,1086,579,1092,460,2268,1302,64,255,15,55,73,1370,102,33,241,174,58,8,9,27,0,0,0,0,29,0,0,0,0,18509
2010,"District 2",582,3301,3039,1735,1061,610,1020,408,1643,942,46,146,10,17,47,860,165,18,65,126,17,3,9,56,0,3,0,0,21,0,0,0,0,15950
2010,"District 19",439,5973,1844,929,585,535,688,1049,1843,1129,63,47,5,21,59,639,37,12,153,32,48,10,12,5,0,0,2,1,5,0,0,0,0,16165
2010,"District 1",736,6002,1174,544,538,398,667,1051,640,217,25,27,3,14,20,271,47,2,98,18,24,12,9,5,0,3,3,1,1,0,0,0,0,12550
2010,"District 15",317,1687,3085,4974,933,805,1024,338,1275,780,29,202,10,69,65,531,74,12,148,89,23,3,3,200,0,2,0,0,18,0,0,0,0,16696
2010,"District 11",316,2722,4583,5865,1379,989,1040,632,1811,936,37,292,18,64,89,989,308,27,96,129,25,9,7,154,0,1,0,0,50,0,0,0,0,22568
2010,"District 22",389,2432,2175,1294,795,414,962,501,1463,1102,26,160,33,19,49,567,4,17,123,143,17,8,7,29,0,0,0,0,23,0,0,0,0,12752
2010,"District 14",317,4380,2189,899,691,574,694,506,1930,1304,60,81,10,23,55,1049,98,25,96,100,67,5,8,5,0,2,0,0,3,0,0,0,0,15171
2010,"District 31",0,0,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
2010,"District 21",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,"District 13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,"District 23",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2014,"District 8",365,3936,2766,1416,1027,588,1250,1026,2399,1417,68,186,20,85,99,841,116,42,264,194,19,7,4,23,4,3,2,0,32,0,0,0,0,18199
2014,"District 10",253,1944,2673,1939,828,540,702,406,1307,608,50,177,5,56,57,468,11,25,227,132,37,8,6,32,3,3,0,0,24,0,0,0,0,12521
2014,"District 12",339,3837,1986,621,736,404,619,735,1405,719,39,55,4,26,50,634,61,15,98,133,23,5,10,4,0,5,0,0,10,1,0,0,0,12574
2014,"District 18",480,5354,1419,258,401,228,391,1287,766,273,39,36,3,28,51,222,82,4,64,33,47,4,7,0,2,0,2,3,5,2,0,0,0,11491
2014,"District 7",386,2305,3688,1892,1225,698,858,610,1469,833,38,377,18,130,90,452,92,47,210,116,5,8,5,40,0,1,0,0,49,1,1,0,0,15644
2014,"District 25",281,2934,2904,1577,1001,534,1230,783,1646,785,55,146,20,109,77,788,220,32,165,211,18,7,4,15,1,3,1,1,23,0,0,0,0,15571
2014,"District 6",419,3263,3499,1449,1145,779,922,920,1621,965,39,276,16,83,72,569,38,22,163,136,8,3,12,21,1,1,0,1,32,0,1,0,0,16476
2014,"District 5",348,2092,2654,1200,1037,482,739,440,1481,752,40,302,13,81,60,359,102,20,152,119,10,19,5,18,3,2,0,0,20,1,0,0,0,12551
2014,"District 4",409,2908,3331,1720,1241,604,1232,688,1836,1038,56,286,12,82,88,562,43,24,227,177,21,6,8,25,0,0,0,0,33,0,0,0,0,16657
2014,"District 24",238,1746,1447,454,487,239,518,472,868,457,27,66,4,36,46,257,29,2,45,69,12,2,5,0,1,0,0,0,10,0,0,0,0,7537
2014,"District 16",369,2147,1412,598,490,117,1192,674,1154,623,38,47,15,18,29,394,21,10,56,87,15,3,8,0,4,4,0,0,8,1,0,0,0,9534
2014,"District 3",448,2171,2916,1192,1025,602,1237,596,1398,898,51,203,11,97,81,388,38,19,161,120,8,6,7,27,0,0,0,0,18,2,0,0,0,13720
2014,"District 20",121,1172,764,296,226,106,308,326,455,214,26,25,4,15,26,155,2,8,30,22,8,1,2,2,0,1,0,0,3,0,0,0,0,4318
2014,"District 17",128,2000,1191,352,381,224,431,416,1013,508,40,45,11,17,36,407,27,13,64,67,23,4,7,4,0,1,0,0,3,0,0,0,0,7413
2014,"District 9",319,2782,2573,1239,858,472,768,609,1688,823,59,160,17,75,56,585,20,38,169,119,23,3,7,9,2,3,0,0,26,0,0,0,0,13502
2014,"District 2",377,2513,2208,867,817,610,704,695,1114,604,31,117,5,28,51,483,16,5,94,109,2,4,5,6,0,2,0,0,16,0,0,0,0,11483
2014,"District 19",422,4366,1521,669,466,386,532,1013,1289,724,60,33,2,18,67,370,10,17,96,56,46,6,2,1,5,1,3,2,6,1,0,0,0,12190
2014,"District 1",697,5373,1262,272,492,272,399,1518,562,168,40,27,1,21,42,210,23,2,107,30,12,4,16,1,2,0,2,1,1,1,0,0,0,11558
2014,"District 15",381,1457,2642,3176,825,512,753,434,1008,373,29,157,11,115,55,445,119,13,169,93,8,5,4,74,0,0,0,0,32,2,0,0,0,12892
2014,"District 11",299,2101,3619,6737,1133,760,1078,650,1319,547,42,233,5,222,94,577,541,27,224,140,15,8,7,85,0,3,0,2,53,3,0,0,0,20524
2014,"District 22",252,1975,1474,711,603,303,652,570,930,495,43,117,19,38,34,336,4,6,75,110,2,3,4,6,0,3,0,0,16,0,0,0,0,8781
2014,"District 14",207,3149,1496,318,452,339,450,477,1069,745,42,43,4,18,47,412,10,8,43,71,33,1,5,0,0,1,0,0,5,0,0,0,0,9445
2014,"District 31",0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
2014,"District 21",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,"District 13",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2014,"District 23",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,"District 8",696,6357,5397,2092,1987,1117,2150,1010,4923,2125,154,274,34,23,94,1908,431,68,211,181,44,16,15,62,0,1,0,0,27,0,0,0,0,31397
2004,"District 10",522,3252,4180,3885,1238,647,1346,264,2098,672,68,219,13,26,64,1044,272,44,177,136,95,17,6,40,0,0,0,0,41,0,0,0,0,20366
2004,"District 12",1161,6900,3855,2208,1318,684,1132,618,2700,1027,79,204,9,22,47,1394,470,34,126,91,65,19,11,28,0,1,2,0,21,0,0,0,0,24226
2004,"District 18",1397,7416,2645,1183,759,492,810,1337,1626,785,55,92,10,30,38,571,682,6,103,61,39,10,4,9,0,0,2,0,8,0,0,0,0,20170
2004,"District 7",592,3358,7406,4544,2306,1004,1580,415,2988,1471,97,416,29,59,143,1239,489,58,115,161,39,27,8,145,0,0,0,0,46,0,0,0,0,28735
2004,"District 25",606,5225,4664,3075,1561,939,1843,556,3232,1718,123,310,40,35,88,1662,736,87,158,158,64,21,13,41,0,1,2,1,29,0,0,0,0,26988
2004,"District 6",902,4629,5307,2506,1784,1234,1775,730,2710,1709,78,216,31,21,116,1537,221,33,83,255,43,38,18,96,0,0,0,0,32,0,0,0,0,26104
2004,"District 5",354,2624,5156,2665,1699,690,1448,311,2455,975,81,216,23,24,92,864,341,34,95,223,19,27,8,51,0,1,0,0,22,0,0,0,0,20498
2004,"District 4",665,4236,5402,2750,1982,993,1921,559,3423,1338,103,321,33,14,99,1516,148,41,108,302,41,25,15,75,0,0,0,1,28,0,0,1,0,26140
2004,"District 24",402,3357,2369,1052,702,654,1078,446,1977,965,56,69,31,13,39,715,157,22,63,111,48,15,6,39,0,1,0,0,9,0,0,0,0,14396
2004,"District 16",562,3472,2013,821,825,237,1412,635,2507,757,71,76,21,16,21,671,75,37,97,75,76,8,9,21,0,0,1,1,4,0,0,0,0,14521
2004,"District 3",1045,3158,5492,3103,1816,961,1807,481,2647,1424,75,187,26,26,107,1125,251,35,94,224,18,15,17,110,0,1,0,0,31,0,0,0,0,24276
2004,"District 20",296,2047,1382,545,451,238,729,334,1073,468,43,32,6,1,24,357,88,7,132,56,34,1,5,14,0,1,0,3,2,0,0,0,0,8369
2004,"District 17",307,3322,1971,770,656,412,950,393,1982,800,83,75,12,16,40,871,121,19,79,76,51,8,8,23,0,0,0,2,10,0,0,0,0,13057
